protein_id_3610	PS	assembly_3610	seq_type_3610	chromosome_3610	genomic_accession_3610	start_3610	end_3610	strand_3610	name_3610	symbol_3610	locus_tag_3610	feature_interval_length_3610	product_length_3610	protein_id_168	assembly_168	seq_type_168	chromosome_168	genomic_accession_168	start_168	end_168	strand_168	name_168	symbol_168	locus_tag_168	feature_interval_length_168	product_length_168	symbol_168	category	syn_name	synonyms	operons
AQZ91727.1	1	GCA_002055965.1	chromosome		CP020102.1	2900037	2900546	-	phosphodiesterase	ysnB	B4U62_15295	510	169	CAB14795.2	GCA_000009045.1	chromosome	NA	AL009126.3	2900020	2900529	-	putative phosphoesterase	ysnB	BSU_28350	510	169	ysnB	Groups of genes#Proteins of unknown function	ysnB	ysnB	ysnB, rph→ysnB
AQZ89549.1	1	GCA_002055965.1	chromosome		CP020102.1	701643	702368	+	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC	B4U62_03700	726	241	CAB12465.1	GCA_000009045.1	chromosome	NA	AL009126.3	701601	702326	+	phosphoribosylaminoimidazole succinocarboxamide synthetase	purC	BSU_06450	726	241	purC	Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides#Biosynthesis/ acquisition of purine nucleotides	purC	purC	purE→purD
AQZ92992.1	1	GCA_002055965.1	chromosome		CP020102.1	231392	233011	+	amino acid:proton symporter	ybeC	B4U62_01310	1620	539	CAB12006.2	GCA_000009045.1	chromosome	NA	AL009126.3	231348	232967	+	putative H+/amino acid transporter	ybeC	BSU_02120	1620	539	ybeC	Cellular processes#Transporters#Transporters/ other#Other transporters;Groups of genes#Membrane proteins	ybeC	ybeC	ybeC
AQZ91914.1	1	GCA_002055965.1	chromosome		CP020102.1	3100047	3100877	+	ABC transporter permease	amyC	B4U62_16280	831	276	CAB15007.1	GCA_000009045.1	chromosome	NA	AL009126.3	3100031	3100861	+	maltose and multiple sugars ABC transporter (permease)	msmG	BSU_30290	831	276	melC	Cellular processes#Transporters#ABC transporters#Importers#Uptake of carbon sources;Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of melibiose;Groups of genes#Membrane proteins	melC	melC;amyC	melR→melA
AQZ90932.1	1	GCA_002055965.1	chromosome		CP020102.1	2175628	2179545	-	DNA polymerase	yorL	B4U62_11085	3918	1305	CAB13926.1	GCA_000009045.1	chromosome	NA	AL009126.3	2175596	2179513	-	"DNA polymerase with 3'-5' exonuclease activity; phage SPbeta"	dpoL	BSU_20340	3918	1305	yorL	Information processing#Genetics#DNA replication/ based on similarity;Prophages and mobile genetic elements#Prophages#SP-beta prophage	yorL	yorL	NA
AQZ91918.1	1	GCA_002055965.1	chromosome		CP020102.1	3106226	3107011	+	blue-light photoreceptor	ytvA	B4U62_16305	786	261	CAB15012.1	GCA_000009045.1	chromosome	NA	AL009126.3	3106210	3106995	+	blue light GTP-binding receptor	blrA	BSU_30340	786	261	ytvA	Information processing#Regulation of gene expression#Sigma factors and their control#Control of sigma factors	ytvA	ytvA	ytvA
AQZ93150.1	1	GCA_002055965.1	chromosome		CP020102.1	4032385	4033794	-	aryl-phospho-beta-D-glucosidase BglH	bglH	B4U62_21105	1410	469	CAB15962.2	GCA_000009045.1	chromosome	NA	AL009126.3	4032346	4033755	-	aryl-phospho-beta-d-glucosidase	bglH	BSU_39260	1410	469	bglH	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of beta-glucosides	bglH	bglH	bglP→yxiE
AQZ90186.1	1	GCA_002055965.1	chromosome		CP020102.1	1357968	1359317	-	serine protease HtrA	htrA	B4U62_07145	1350	449	CAB13147.2	GCA_000009045.1	chromosome	NA	AL009126.3	1357936	1359285	-	membrane bound serine protease Do, quality control protease and chaperone (heat-shock protein)	htrA	BSU_12900	1350	449	htrA	Information processing#Protein synthesis, modification and degradation#Proteolysis#Protein quality control;Lifestyles#Coping with stress#Heat shock proteins;Groups of genes#Membrane proteins;Groups of genes#Secreted proteins	htrA	htrA;ykdA	htrA
AQZ92040.1	1	GCA_002055965.1	chromosome		CP020102.1	3239945	3241024	+	BMP family ABC transporter substrate-binding protein	yufN	B4U62_17065	1080	359	CAB15143.2	GCA_000009045.1	chromosome	NA	AL009126.3	3239930	3241009	+	lipoprotein involved in guanosine transport	nupN	BSU_31540	1080	359	nupN	Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides#Biosynthesis/ acquisition of purine nucleotides;Groups of genes#Membrane proteins	nupN	nupN;yufN	nupN→nupQ
AQZ90211.1	1	GCA_002055965.1	chromosome		CP020102.1	1382709	1383179	-	tRNA-specific adenosine deaminase	guaD	B4U62_07285	471	156	CAB13174.1	GCA_000009045.1	chromosome	NA	AL009126.3	1382677	1383147	-	guanine deaminase	guaN	BSU_13170	471	156	guaD	Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides#Purine salvage and interconversion;Lifestyles#Coping with stress#General stress proteins (controlled by SigB);Lifestyles#Coping with stress#Resistance against oxidative and electrophile stress	guaD	guaD;gde;yknA	guaD
AQZ90732.1	1	GCA_002055965.1	chromosome		CP020102.1	2007558	2008547	+	alcohol dehydrogenase	yogA	B4U62_10025	990	329	CAB13726.1	GCA_000009045.1	chromosome	NA	AL009126.3	2007526	2008515	+	putative oxidoreductase	yogA	BSU_18430	990	329	yogA	Groups of genes#Proteins of unknown function	yogA	yogA	yogA
AQZ89064.1	1	GCA_002055965.1	chromosome		CP020102.1	155192	155959	+	methyltransferase	ybaJ	B4U62_00910	768	255	CAB11927.2	GCA_000009045.1	chromosome	NA	AL009126.3	155156	155923	+	putative methyltransferase	ybaJ	BSU_01510	768	255	ybaJ	Groups of genes#Proteins of unknown function	ybaJ	ybaJ	ybaJ
AQZ90113.1	1	GCA_002055965.1	chromosome		CP020102.1	1291376	1292566	+	cytochrome P450	yjiB	B4U62_06765	1191	396	CAB13078.1	GCA_000009045.1	chromosome	NA	AL009126.3	1291344	1292534	+	cytochrome P450 CYP109B1, monooxygenase	cypE	BSU_12210	1191	396	yjiB	Metabolism#Electron transport and ATP synthesis#Electron transport/ other;Metabolism#Lipid metabolism#Lipid metabolism/ other	yjiB	yjiB	yjiB→yjiC
AQZ90558.1	1	GCA_002055965.1	chromosome		CP020102.1	1741648	1742607	+	hypothetical protein	ylxY	B4U62_09110	960	319	CAB13543.1	GCA_000009045.1	chromosome	NA	AL009126.3	1741618	1742577	+	putative sugar deacetylase	ylxY	BSU_16700	960	319	ylxY	Groups of genes#Poorly characterized/ putative enzymes	ylxY	ylxY;ymxI	NA
AQZ90650.1	4	GCA_002055965.1	chromosome		CP020102.1	1899621	1900082	+	hypothetical protein	yncE	B4U62_09595	462	153	CAB13649.2	GCA_000009045.1	chromosome	NA	AL009126.3	1899589	1900050	+	putative prophage protein	yncE	BSU_17650	462	153	yncE	Lifestyles#Sporulation#Sporulation proteins#Newly identified sporulation proteins (based on transcription profiling)	yncE	yncE	NA
AQZ89961.1	1	GCA_002055965.1	chromosome		CP020102.1	1148193	1148495	+	hypothetical protein	yisB	B4U62_05935	303	100	CAB12906.1	GCA_000009045.1	chromosome	NA	AL009126.3	1148155	1148457	+	HNH nuclease-like essential for DNA repair	hlpB	BSU_10660	303	100	hlpB	Information processing#Genetics#DNA repair/ recombination;Information processing#Genetics#DNA repair/ recombination#Other proteins	hlpB	hlpB;yisB	addB→hlpB
AQZ91452.1	1	GCA_002055965.1	chromosome		CP020102.1	2643786	2644355	-	nicotinate-nicotinamide nucleotide adenylyltransferase	nadD	B4U62_13840	570	189	CAB14506.1	GCA_000009045.1	chromosome	NA	AL009126.3	2643765	2644334	-	nicotinate-nucleotide adenylyltransferase	nadD	BSU_25640	570	189	nadD	Metabolism#Additional metabolic pathways#Biosynthesis of cofactors#Biosynthesis of NAD(P);Groups of genes#Essential genes	nadD	nadD;yqeJ	yqeG→yqeM
AQZ91257.1	2	GCA_002055965.1	chromosome		CP020102.1	2457014	2457364	+	transcriptional regulator	ansR	B4U62_12790	351	116	CAB14291.1	GCA_000009045.1	chromosome	NA	AL009126.3	2456990	2457340	+	transcriptional regulator of ansAB (Xre family)	ansR	BSU_23590	351	116	ansR	Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids#Utilization of  asparagine/ aspartate;Information processing#Regulation of gene expression#Transcription factors and their control#Transcription factors/ other	ansR	ansR	ansR
AQZ91356.1	7	GCA_002055965.1	chromosome		CP020102.1	2554507	2555268	-	amyloid fiber anchoring/assembly protein TapA	tapA	B4U62_13320	762	253	CAB14395.1	GCA_000009045.1	chromosome	NA	AL009126.3	2554486	2555247	-	lipoprotein for biofilm formation	tapA	BSU_24640	762	253	tapA	Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation;Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation#Amyloid protein synthesis, secretion and assembly;Groups of genes#Membrane proteins	tapA	tapA;yqhD;yqxM	tapA→tasA
AQZ89340.1	8	GCA_002055965.1	chromosome		CP020102.1	490817	491083	-	hypothetical protein	ydzK	B4U62_02490	267	88	CAX52551.1	GCA_000009045.1	chromosome	NA	AL009126.3	490777	491043	-	putative membrane protein	ydzK	BSU_04359	267	88	ydzK	Groups of genes#Proteins of unknown function	ydzK	ydzK	ydzK
AQZ90349.1	1	GCA_002055965.1	chromosome		CP020102.1	1526226	1526780	-	peptide deformylase	def	B4U62_08020	555	184	CAB13329.1	GCA_000009045.1	chromosome	NA	AL009126.3	1526195	1526749	-	N-formyl-cysteine deformylase (promiscuous)	defB	BSU_14560	555	184	defB	Metabolism#Additional metabolic pathways#Sulfur metabolism#Conversion of S-methyl cysteine to cysteine	defB	defB;ykrB	defB
AQZ90375.1	1	GCA_002055965.1	chromosome		CP020102.1	1551416	1552345	+	glutaminase 2	ylaM	B4U62_08165	930	309	CAB13356.1	GCA_000009045.1	chromosome	NA	AL009126.3	1551385	1552314	+	"L-glutamine amidohydrolase; glutaminase"	glsB	BSU_14830	930	309	ylaM	Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids#Utilization of glutamine/ glutamate;Lifestyles#Sporulation#Sporulation proteins#Newly identified sporulation proteins (based on transcription profiling)	ylaM	ylaM	ylaK->ylaM
AQZ92805.1	3	GCA_002055965.1	chromosome		CP020102.1	4036823	4038532	-	ribonuclease YxiD	yxiD	B4U62_21125	1710	569	CAB15966.2	GCA_000009045.1	chromosome	NA	AL009126.3	4036784	4038493	-	ribonuclease toxin of the RtbD-RtbE toxin-antitoxin system	rtbD	BSU_39300	1710	569	yxiD	Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins#Type 2 TA systems;Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins/ based on similarity	yxiD	yxiD	yxiB→yxxE
AQZ89683.1	2	GCA_002055965.1	chromosome		CP020102.1	853595	854311	+	transcriptional regulator	treR	B4U62_04400	717	238	CAB12611.1	GCA_000009045.1	chromosome	NA	AL009126.3	853556	854272	+	transcriptional regulator (TreR-trehalose)	treR	BSU_07820	717	238	treR	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of trehalose;Information processing#Regulation of gene expression#Transcription factors and their control#Transcription factors/ other	treR	treR;yfxA	treP→treR
AQZ92079.1	2	GCA_002055965.1	chromosome		CP020102.1	3280309	3280518	-	MbtH family protein	ybdZ	B4U62_17265	210	69	CAX52685.1	GCA_000009045.1	chromosome	NA	AL009126.3	3280294	3280503	-	stimulator of DhbF tyrosine adenylation activity	mbtH	BSU_31959	210	69	ybdZ	Groups of genes#Proteins of unknown function	ybdZ	ybdZ	dhbA→ybdZ
AQZ90409.1	1	GCA_002055965.1	chromosome		CP020102.1	1586361	1587845	+	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2'6-diaminopimelate ligase	murE	B4U62_08345	1485	494	CAB13391.1	GCA_000009045.1	chromosome	NA	AL009126.3	1586330	1587814	+	UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase	murE	BSU_15180	1485	494	murE	Cellular processes#Cell envelope and cell division#Cell wall synthesis#Biosynthesis of peptidoglycan;Metabolism#Additional metabolic pathways#Biosynthesis of cell wall components#Biosynthesis of peptidoglycan;Groups of genes#Essential genes	murE	murE	murE→sbp
AQZ93176.1	1	GCA_002055965.1	plasmid	pBS32	CP020103.1	24524	25903	-	phage portal protein		B4U62_22225	1380	459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQZ90237.1	2	GCA_002055965.1	chromosome		CP020102.1	1410686	1411660	+	hypothetical protein	ykoY	B4U62_07425	975	324	CAB13201.1	GCA_000009045.1	chromosome	NA	AL009126.3	1410654	1411628	+	putative manganese-related ion transporter	ykoY	BSU_13440	975	324	ykoY	Lifestyles#Sporulation#Sporulation proteins#Newly identified sporulation proteins (based on transcription profiling);Groups of genes#Membrane proteins	ykoY	ykoY	ykoX→ykoY, ykoY
AQZ91983.1	1	GCA_002055965.1	chromosome		CP020102.1	3168640	3169782	-	glucose-1-phosphate adenylyltransferase	glgC	B4U62_16630	1143	380	CAB15075.1	GCA_000009045.1	chromosome	NA	AL009126.3	3168624	3169766	-	glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase) subunit alpha	glgC	BSU_30970	1143	380	glgC	Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways#Biosynthesis of glycogen;Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other	glgC	glgC	glgB→glgP
AQZ91718.1	1	GCA_002055965.1	chromosome		CP020102.1	2889569	2890987	-	3-isopropylmalate dehydratase large subunit	leuC	B4U62_15240	1419	472	CAB14786.1	GCA_000009045.1	chromosome	NA	AL009126.3	2889552	2890970	-	3-isopropylmalate dehydratase (large subunit)	leuC	BSU_28260	1419	472	leuC	Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of branched-chain amino acids;Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue	leuC	leuC	ilvB→leuD
AQZ91844.1	1	GCA_002055965.1	chromosome		CP020102.1	3020057	3021064	-	S49 family peptidase	sppA	B4U62_15905	1008	335	CAB14931.1	GCA_000009045.1	chromosome	NA	AL009126.3	3020040	3021047	-	signal peptide peptidase	sppA	BSU_29530	1008	335	sppA	Information processing#Protein synthesis, modification and degradation#Protein secretion;Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y);Groups of genes#Membrane proteins	sppA	sppA;yteI	sppA→yteJ
AQZ91396.1	9	GCA_002055965.1	chromosome		CP020102.1	2588018	2588446	-	cell wall-binding protein YqgA	yqgA	B4U62_13535	429	142	CAB14435.2	GCA_000009045.1	chromosome	NA	AL009126.3	2587996	2588424	-	cell wall protein	yqgA	BSU_25050	429	142	yqgA	Groups of genes#Membrane proteins;Groups of genes#Proteins of unknown function	yqgA	yqgA	yqgA
AQZ90141.1	2	GCA_002055965.1	chromosome		CP020102.1	1320603	1321199	-	phage-like element PBSX protein XkdA	xkdA	B4U62_06915	597	198	CAB13107.3	GCA_000009045.1	chromosome	NA	AL009126.3	1320570	1321166	-	"phage PBSX; putative peptidase"	xkdA	BSU_12500	597	198	xkdA	Prophages and mobile genetic elements#Prophages#PBSX prophage	xkdA	xkdA;ykxA	xkdA
AQZ89713.1	4	GCA_002055965.1	chromosome		CP020102.1	886813	887370	-	lipoprotein	yfjD	B4U62_04560	558	185	CAB12643.1	GCA_000009045.1	chromosome	NA	AL009126.3	886775	887332	-	putative integral inner membrane protein	yfjD	BSU_08140	558	185	yfjD	Groups of genes#Membrane proteins;Groups of genes#Proteins of unknown function	yfjD	yfjD	yfjA→yfjF
AQZ89778.1	1	GCA_002055965.1	chromosome		CP020102.1	955933	957705	+	phosphomethylpyrimidine synthase ThiC	thiC	B4U62_04980	1773	590	CAB12707.2	GCA_000009045.1	chromosome	NA	AL009126.3	955895	957667	+	phosphomethylpyrimidine synthase	thiC	BSU_08790	1773	590	thiC	Metabolism#Additional metabolic pathways#Biosynthesis of cofactors#Biosynthesis/ acquisition of thiamine;Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue;Groups of genes#Phosphoproteins#Phosphorylation on a Ser residue;Groups of genes#Phosphoproteins#Phosphorylation on a Tyr residue	thiC	thiC;thiA	thiC
AQZ90378.1	1	GCA_002055965.1	chromosome		CP020102.1	1554216	1557662	+	pyruvate carboxylase	pycA	B4U62_08180	3447	1148	CAB13359.1	GCA_000009045.1	chromosome	NA	AL009126.3	1554185	1557631	+	pyruvate carboxylase	pycA	BSU_14860	3447	1148	pycA	Metabolism#Carbon metabolism#Carbon core metabolism#TCA cycle;Groups of genes#Membrane proteins	pycA	pycA;ylaP	ftsW→pycA, pycA
AQZ92476.1	1	GCA_002055965.1	chromosome		CP020102.1	3708837	3709604	-	alpha-acetolactate decarboxylase	alsD	B4U62_19400	768	255	CAB15617.1	GCA_000009045.1	chromosome	NA	AL009126.3	3708799	3709566	-	alpha-acetolactate decarboxylase	alsD	BSU_36000	768	255	alsD	Metabolism#Carbon metabolism#Carbon core metabolism#Overflow metabolism;Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	alsD	alsD	alsS→alsD
AQZ92901.1	2	GCA_002055965.1	chromosome		CP020102.1	4132767	4134212	-	metallophosphoesterase	yydB	B4U62_21605	1446	481	CAB16059.1	GCA_000009045.1	chromosome	NA	AL009126.3	4132729	4134174	-	putative phosphohydrolase	yydB	BSU_40220	1446	481	yydB	Groups of genes#Proteins of unknown function	yydB	yydB	yyzF->yydD
AQZ91671.1	2	GCA_002055965.1	chromosome		CP020102.1	2840128	2840775	+	serine/threonine protein kinase	yrzF	B4U62_14995	648	215	CAB14738.2	GCA_000009045.1	chromosome	NA	AL009126.3	2840110	2840757	+	putative serine/threonine-protein kinase	yrzF	BSU_27785	648	215	yrzF	Groups of genes#Proteins of unknown function	yrzF	yrzF	yrzF
AQZ89098.1	1	GCA_002055965.1	chromosome		CP020102.1	209677	210204	+	carbonic anhydrase	ybcF	B4U62_01180	528	175	CAB11962.1	GCA_000009045.1	chromosome	NA	AL009126.3	209633	210160	+	"putative enzyme; prophage 1 region"	ybcF	BSU_01860	528	175	ybcF	Prophages and mobile genetic elements#Prophages#Prophage 1;Groups of genes#Poorly characterized/ putative enzymes	ybcF	ybcF	ndhF→ybcI
AQZ91507.1	9	GCA_002055965.1	chromosome		CP020102.1	2685183	2685836	-	hypothetical protein	yqbC	B4U62_14115	654	217	CAB14557.1	GCA_000009045.1	chromosome	NA	AL009126.3	2685162	2685815	-	"conserved phage protein of unknown function; skin element"	yqbC	BSU_26160	654	217	yqbC	Prophages and mobile genetic elements#Prophages#Skin element	yqbC	yqbC	yqbC
AQZ91884.1	1	GCA_002055965.1	chromosome		CP020102.1	3063849	3064778	-	lipid kinase	ytlR	B4U62_16115	930	309	CAB14972.1	GCA_000009045.1	chromosome	NA	AL009126.3	3063833	3064762	-	putative phospholipid kinase	ytlR	BSU_29940	930	309	ytlR	Groups of genes#Proteins of unknown function	ytlR	ytlR	ytlP->amyX
AQZ93026.1	2	GCA_002055965.1	chromosome		CP020102.1	1073932	1074288	-	hypothetical protein	yhaH	B4U62_05600	357	118	CAB12840.1	GCA_000009045.1	chromosome	NA	AL009126.3	1073895	1074251	-	"putative membrane protein; acid tolerance protein"	yhaH	BSU_10000	357	118	yhaH	Groups of genes#Membrane proteins;Groups of genes#Proteins of unknown function	yhaH	yhaH	yhaH
AQZ92699.1	2	GCA_002055965.1	chromosome		CP020102.1	3923960	3924268	+	hypothetical protein	ywcB	B4U62_20575	309	102	CAB15849.1	GCA_000009045.1	chromosome	NA	AL009126.3	3923920	3924228	+	subunit of acetate transporter as a volatile signal for biofilm formation	vbfB	BSU_38230	309	102	ywcB	Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other;Groups of genes#Membrane proteins	ywcB	ywcB;ipa-32r	ywcB→ywcA
AQZ91912.1	1	GCA_002055965.1	chromosome		CP020102.1	3097866	3099146	+	sugar ABC transporter substrate-binding protein	msmE	B4U62_16270	1281	426	CAB15005.1	GCA_000009045.1	chromosome	NA	AL009126.3	3097850	3099130	+	multiple sugar-binding lipoprotein	msmE	BSU_30270	1281	426	melE	Cellular processes#Transporters#ABC transporters#Importers#Uptake of carbon sources;Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of melibiose;Groups of genes#Membrane proteins;Groups of genes#Secreted proteins	melE	melE;msmE	melR→melA
AQZ91639.1	4	GCA_002055965.1	chromosome		CP020102.1	2805519	2805710	-	hypothetical protein	yrzR	B4U62_14825	192	63	CAX52673.1	GCA_000009045.1	chromosome	NA	AL009126.3	2805501	2805692	-	conserved protein of unknown function	yrzR	BSU_27469	192	63	yrzR	Lifestyles#Sporulation#Sporulation proteins#Newly identified sporulation proteins (based on transcription profiling);Groups of genes#Proteins of unknown function	yrzR	yrzR	yrrD→yrzQ, yrzR→yrzQ
AQZ92851.1	1	GCA_002055965.1	chromosome		CP020102.1	4082068	4082883	-	5-deoxy-glucuronate isomerase	iolB	B4U62_21355	816	271	CAB16011.2	GCA_000009045.1	chromosome	NA	AL009126.3	4082030	4082845	-	5-deoxy-D-glucuronic acid isomerase	iolB	BSU_39750	816	271	iolB	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of inositol	iolB	iolB;yxdB	iolA→iolJ
AQZ91456.1	1	GCA_002055965.1	chromosome		CP020102.1	2646615	2647133	-	hypothetical protein	yqeG	B4U62_13860	519	172	CAB14510.1	GCA_000009045.1	chromosome	NA	AL009126.3	2646594	2647112	-	phosphatase (active on GMP and Glc-6-P)	yqeG	BSU_25680	519	172	yqeG	Groups of genes#Essential genes;Groups of genes#Poorly characterized/ putative enzymes	yqeG	yqeG	yqeG→yqeM
AQZ90136.1	1	GCA_002055965.1	chromosome		CP020102.1	1317190	1317447	-	hypothetical protein	yjpA	B4U62_06890	258	85	CAB13102.2	GCA_000009045.1	chromosome	NA	AL009126.3	1317157	1317414	-	putative enzyme	yjpA	BSU_12450	258	85	yjpA	Groups of genes#Proteins of unknown function	yjpA	yjpA	NA
AQZ90989.1	8	GCA_002055965.1	chromosome		CP020102.1	2212058	2212273	-	hypothetical protein	yopF	B4U62_11370	216	71	CAB14009.1	GCA_000009045.1	chromosome	NA	AL009126.3	2212026	2212241	-	"conserved protein of unknown function; phage SPbeta"	yopF	BSU_20910	216	71	yopF	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yopF	yopF	NA
AQZ89830.1	1	GCA_002055965.1	chromosome		CP020102.1	1009842	1010486	+	DNA-binding response regulator	yhcZ	B4U62_05260	645	214	CAB12761.1	GCA_000009045.1	chromosome	NA	AL009126.3	1009804	1010448	+	two-component response regulator [YhcY]	yhcZ	BSU_09330	645	214	yhcZ	Information processing#Regulation of gene expression#Transcription factors and their control#Two-component system response regulators;Groups of genes#Phosphoproteins#Phosphorylation on an Asp residue	yhcZ	yhcZ	yhcY→yhdA
AQZ90238.1	2	GCA_002055965.1	chromosome		CP020102.1	1411924	1412679	+	RNA polymerase sigma-I factor	sigI	B4U62_07430	756	251	CAB13218.1	GCA_000009045.1	chromosome	NA	AL009126.3	1411892	1412647	+	RNA polymerase sigma factor (heat stress responsive)	sigI	BSU_13450	756	251	sigI	Information processing#RNA synthesis and degradation#Transcription#Sigma factors;Information processing#Regulation of gene expression#Sigma factors and their control#Sigma factors;Lifestyles#Coping with stress#Heat shock proteins	sigI	sigI;ykoZ	sigI→rsgI
AQZ92172.1	1	GCA_002055965.1	chromosome		CP020102.1	3376632	3377015	-	tautomerase	yusQ	B4U62_17765	384	127	CAB15278.1	GCA_000009045.1	chromosome	NA	AL009126.3	3376617	3377000	-	hydratase of unidentified specificity (tautomerase superfamily)	yusQ	BSU_32890	384	127	yusQ	Groups of genes#Poorly characterized/ putative enzymes	yusQ	yusQ	yusS->yusQ
AQZ93236.1	1	GCA_002055965.1	plasmid	pBS32	CP020103.1	78641	80635	+	DNA topoisomerase		B4U62_22550	1995	664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQZ90639.1	4	GCA_002055965.1	chromosome		CP020102.1	1885397	1885672	+	hypothetical protein	ynaG	B4U62_09535	276	91	CAB13639.1	GCA_000009045.1	chromosome	NA	AL009126.3	1885365	1885640	+	"conserved hypothetical protein; defective phage region"	ynaG	BSU_17550	276	91	ynaG	Groups of genes#Membrane proteins;Groups of genes#Proteins of unknown function	ynaG	ynaG	NA
AQZ89515.1	7	GCA_002055965.1	chromosome		CP020102.1	663643	663978	+	hypothetical protein	ydjB	B4U62_03520	336	111	CAB12431.1	GCA_000009045.1	chromosome	NA	AL009126.3	663601	663936	+	"hypothetical protein; prophage region 3"	ydjB	BSU_06120	336	111	ydjB	Prophages and mobile genetic elements#Prophages#Prophage 3;Groups of genes#Proteins of unknown function	ydjB	ydjB	NA
AQZ92916.1	1	GCA_002055965.1	chromosome		CP020102.1	4145785	4147170	+	arginine utilization regulatory protein RocR	rocR	B4U62_21680	1386	461	CAB16072.1	GCA_000009045.1	chromosome	NA	AL009126.3	4145747	4147132	+	transcriptional regulator (NtrC/NifA family)	rocR	BSU_40350	1386	461	rocR	Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids#Utilization of arginine/ ornithine;Information processing#Regulation of gene expression#Transcription factors and their control#Transcription factors/ other	rocR	rocR	rocR
AQZ89837.1	1	GCA_002055965.1	chromosome		CP020102.1	1015685	1017091	+	stage V sporulation protein R	spoVR	B4U62_05295	1407	468	CAB12779.1	GCA_000009045.1	chromosome	NA	AL009126.3	1015647	1017053	+	involved in spore cortex synthesis (stage V sporulation, conserved in non sporulating bacteria	spoVR	BSU_09400	1407	468	spoVR	Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other	spoVR	spoVR	spoVR
AQZ92759.1	2	GCA_002055965.1	chromosome		CP020102.1	3985390	3986283	-	hypothetical protein	yxkF	B4U62_20880	894	297	CAB15908.1	GCA_000009045.1	chromosome	NA	AL009126.3	3985351	3986244	-	transcriptional regulator (regulates yxkF-msmX expression)	yxkF	BSU_38820	894	297	yxkF	Groups of genes#Proteins of unknown function	yxkF	yxkF	yxkF→msmX
AQZ89025.1	1	GCA_002055965.1	chromosome		CP020102.1	130720	132798	+	elongation factor G	fusA	B4U62_00710	2079	692	CAB11888.2	GCA_000009045.1	chromosome	NA	AL009126.3	130684	132762	+	elongation factor G	fusA	BSU_01120	2079	692	fusA	Information processing#Protein synthesis, modification and degradation#Translation#Translation factors;Groups of genes#Essential genes;Groups of genes#Phosphoproteins#Phosphorylation on a Ser residue;Groups of genes#Phosphoproteins#Phosphorylation on a Thr residue;Groups of genes#Phosphoproteins#Phosphorylation on a Tyr residue	fusA	fusA;fus	rplGB->tufA
AQZ89009.1	1	GCA_002055965.1	chromosome		CP020102.1	115305	116054	+	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	rlmB	B4U62_00630	750	249	CAB11872.1	GCA_000009045.1	chromosome	NA	AL009126.3	115269	116018	+	23S rRNA (Gm2251)-methyltransferase	rlmB	BSU_00960	750	249	yacO	Information processing#Protein synthesis, modification and degradation#Translation#rRNA modification and maturation	yacO	yacO;rlmB	gltX→yacP
AQZ89972.1	1	GCA_002055965.1	chromosome		CP020102.1	1153827	1156511	+	cell wall-associated protease	wprA	B4U62_05990	2685	894	CAB12917.1	GCA_000009045.1	chromosome	NA	AL009126.3	1153789	1156473	+	cell wall-associated protease	wprA	BSU_10770	2685	894	wprA	Cellular processes#Cell envelope and cell division#Cell wall/ other;Information processing#Protein synthesis, modification and degradation#Proteolysis#Protein quality control;Groups of genes#Secreted proteins	wprA	wprA;yisM	wprA
